PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile,Positional P.P.R. Percentile
Patty Mills,SAS,1453,1.8,2.34,2.81,3.69,0.497,0.306
Kenrich Williams,NOP,832,1.46,2.12,2.44,3.54,0.491,0.3
Frank Jackson,NOP,776,1.03,1.42,2.63,3.63,0.484,0.294
E'Twaun Moore,NOP,1004,1.4,1.84,2.71,3.58,0.481,0.288
Grayson Allen,MEM,718,1.37,1.9,2.53,3.52,0.478,0.281
Jeremy Lamb,IND,1291,2.09,2.66,2.75,3.5,0.466,0.275
Gary Harris,DEN,1780,2.11,2.84,2.49,3.36,0.462,0.269
Marco Belinelli,SAS,875,1.23,1.45,2.77,3.33,0.453,0.262
Dillon Brooks,MEM,2112,2.05,2.78,2.51,3.39,0.444,0.256
Malik Beasley,MIN,1209,1.36,2.02,2.21,3.29,0.428,0.25
Lonnie Walker IV,SAS,967,1.12,1.48,2.49,3.31,0.425,0.244
Josh Okogie,MIN,1547,1.6,2.28,2.23,3.18,0.412,0.238
Tim Hardaway Jr.,DAL,2027,1.93,2.64,2.36,3.23,0.406,0.231
Landry Shamet,LAC,1452,1.87,2.41,2.43,3.14,0.4,0.225
Isaac Bonga,WAS,1250,1.15,1.66,2.17,3.14,0.397,0.219
Norman Powell,TOR,1436,1.69,2.5,2.18,3.11,0.381,0.212
Kyle Korver,MIL,942,1.14,1.45,2.4,2.98,0.372,0.206
Matisse Thybulle,PHI,1287,1.22,1.61,2.24,2.96,0.369,0.2
Bryn Forbes,SAS,1563,1.71,2.06,2.5,3.01,0.362,0.194
Anfernee Simons,POR,1449,1.39,1.83,2.4,3.16,0.353,0.188
Sterling Brown,MIL,767,0.98,1.3,2.29,3.04,0.344,0.181
Josh Hart,NOP,1742,1.66,2.27,2.16,2.95,0.338,0.175
Jaylen Brown,BOS,1934,2.07,2.76,2.24,2.99,0.334,0.169
Kentavious Caldwell-Pope,LAL,1762,1.61,2.06,2.26,2.9,0.328,0.162
Reggie Bullock,NYK,684,1.45,1.86,2.26,2.91,0.325,0.156
Langston Galloway,DET,1682,1.54,1.94,2.19,2.78,0.309,0.15
Rodney Hood,POR,619,1.52,2.31,1.84,2.78,0.297,0.144
Eric Gordon,HOU,1016,1.5,2.25,1.82,2.74,0.288,0.138
Cam Reddish,ATL,1551,1.5,2.05,1.96,2.68,0.259,0.131
Mario Hezonja,POR,866,0.94,1.26,2.04,2.72,0.241,0.125
Allen Crabbe,MIN,653,0.89,1.28,1.76,2.51,0.231,0.119
Furkan Korkmaz,PHI,1559,1.1,1.51,1.83,2.52,0.225,0.112
Wesley Matthews,MIL,1617,1.38,1.73,1.93,2.43,0.209,0.106
Vince Carter,ATL,876,0.8,1.03,1.92,2.47,0.206,0.1
Danny Green,LAL,1687,1.34,1.7,1.92,2.44,0.197,0.094
Maurice Harkless,NYK,1427,1.1,1.55,1.7,2.41,0.194,0.088
Justin Holiday,IND,1826,1.27,1.65,1.84,2.39,0.181,0.081
Kent Bazemore,SAC,1661,1.37,1.7,1.98,2.45,0.178,0.075
Avery Bradley,LAL,1186,1.29,1.59,1.89,2.33,0.147,0.069
Treveon Graham,ATL,929,0.82,1.07,1.74,2.28,0.134,0.062
Terrence Ross,ORL,1889,1.19,1.65,1.59,2.2,0.112,0.056
Terrance Ferguson,OKC,1257,0.91,1.23,1.52,2.06,0.094,0.05
Gary Trent Jr.,POR,1299,1.02,1.26,1.65,2.08,0.081,0.044
Rodney McGruder,LAC,871,0.64,0.89,1.45,2.01,0.072,0.038
Hamidou Diallo,OKC,896,0.78,1.06,1.45,1.97,0.059,0.031
Darius Bazley,OKC,1129,0.67,0.94,1.33,1.86,0.044,0.025
Ben McLemore,HOU,1619,0.82,1.19,1.25,1.82,0.041,0.019
Timothe Luwawu-Cabarrot,BKN,853,0.62,0.94,1.2,1.84,0.038,0.012
Luguentz Dort,OKC,820,0.75,0.92,1.22,1.5,0.012,0.006
