PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile,Positional P.P.R. Percentile
Kevin Knox II,NYK,1166,0.94,1.22,1.89,2.45,0.2,0.248
Danny Green,LAL,1687,1.34,1.7,1.92,2.44,0.197,0.239
Maurice Harkless,NYK,1427,1.1,1.55,1.7,2.41,0.194,0.231
Justin Holiday,IND,1826,1.27,1.65,1.84,2.39,0.181,0.222
Kent Bazemore,SAC,1661,1.37,1.7,1.98,2.45,0.178,0.214
Jonathan Isaac,ORL,980,1.41,1.9,1.79,2.41,0.169,0.205
Duncan Robinson,MIA,2128,1.38,1.85,1.74,2.31,0.156,0.197
Jerami Grant,DEN,1892,1.24,1.64,1.73,2.3,0.141,0.188
Georges Niang,UTA,923,0.67,0.88,1.74,2.3,0.138,0.179
Treveon Graham,ATL,929,0.82,1.07,1.74,2.28,0.134,0.171
Danuel House Jr.,HOU,1913,1.35,1.93,1.56,2.23,0.131,0.162
Derrick Jones Jr.,MIA,1350,1.07,1.38,1.69,2.21,0.125,0.154
Michael Porter Jr.,DEN,903,0.84,1.01,1.86,2.23,0.116,0.145
Terrence Ross,ORL,1889,1.19,1.65,1.59,2.2,0.112,0.137
Abdel Nader,OKC,867,0.69,0.92,1.59,2.12,0.103,0.128
Marcus Morris Sr.,LAC,1936,1.39,1.83,1.65,2.17,0.1,0.12
Torrey Craig,DEN,1072,0.81,1.02,1.67,2.11,0.097,0.111
Terrance Ferguson,OKC,1257,0.91,1.23,1.52,2.06,0.094,0.103
T.J. Warren,IND,2202,1.48,1.91,1.66,2.14,0.088,0.094
Gary Trent Jr.,POR,1299,1.02,1.26,1.65,2.08,0.081,0.085
Carmelo Anthony,POR,1869,1.46,1.88,1.63,2.09,0.078,0.077
Robert Covington,HOU,2137,1.26,1.76,1.45,2.03,0.069,0.068
Kelly Oubre Jr.,PHX,1893,1.55,1.97,1.57,2.04,0.066,0.06
Keita Bates-Diop,DEN,744,0.68,0.94,1.44,1.98,0.062,0.051
Hamidou Diallo,OKC,896,0.78,1.06,1.45,1.97,0.059,0.043
Darius Bazley,OKC,1129,0.67,0.94,1.33,1.86,0.044,0.034
Timothe Luwawu-Cabarrot,BKN,853,0.62,0.94,1.2,1.84,0.038,0.026
Semi Ojeleye,BOS,1011,0.54,0.68,1.35,1.72,0.034,0.017
Luguentz Dort,OKC,820,0.75,0.92,1.22,1.5,0.012,0.009
