PLAYER,TEAM,MIN,AST per game,AST per 75 poss,Wght AST per game,Wght AST per 75 poss,Wght AST per touch,Wght AST per 75 touches,AST Value
DeAndre' Bembry,ATL,1931.0,2.46,3.65,2.95,4.38,0.09,6.57,1.2
DeMar DeRozan,SAS,2688.0,6.17,6.58,6.14,6.55,0.1,7.69,1.0
DeMarcus Cousins,GSW,771.0,3.57,4.98,3.71,5.18,0.07,5.02,1.04
DeMarre Carroll,BKN,1703.0,1.27,1.8,1.42,2.01,0.04,2.94,1.12
Deandre Ayton,PHX,2183.0,1.76,2.08,1.83,2.16,0.04,2.68,1.04
Delon Wright,MEM,1698.0,3.31,5.32,3.46,5.57,0.07,5.41,1.05
Dennis Schroder,OKC,2288.0,4.12,4.93,4.82,5.77,0.09,6.55,1.17
Dennis Smith Jr.,NYK,1508.0,4.75,6.06,5.28,6.73,0.07,5.51,1.11
Derrick Favors,UTA,1742.0,1.16,1.84,1.4,2.22,0.03,2.61,1.21
Derrick Jones Jr.,MIA,1154.0,0.62,1.21,0.67,1.31,0.03,2.04,1.09
Derrick Rose,MIN,1392.0,4.31,5.61,4.88,6.35,0.09,6.96,1.13
Derrick White,SAS,1728.0,3.93,5.71,4.09,5.95,0.08,6.0,1.04
Devin Booker,PHX,2242.0,6.77,6.91,7.6,7.77,0.1,7.53,1.12
Devin Harris,DAL,1071.0,1.79,4.22,1.98,4.67,0.08,5.84,1.1
Devonte' Graham,CHA,676.0,2.63,6.58,2.81,7.04,0.09,6.74,1.07
Dewayne Dedmon,ATL,1609.0,1.41,1.99,1.63,2.31,0.04,2.67,1.16
Dion Waiters,MIA,1138.0,2.75,3.98,3.13,4.53,0.07,5.14,1.14
Dirk Nowitzki,DAL,795.0,0.69,1.61,0.75,1.77,0.03,2.13,1.1
Domantas Sabonis,IND,1838.0,2.86,4.27,3.04,4.53,0.05,3.55,1.06
Donovan Mitchell,UTA,2564.0,4.22,4.47,4.82,5.1,0.08,5.85,1.14
Dorian Finney-Smith,DAL,1985.0,1.17,1.76,1.24,1.87,0.04,3.02,1.06
Doug McDermott,IND,1340.0,0.87,1.84,0.96,2.04,0.05,3.64,1.11
Dragan Bender,PHX,826.0,1.22,2.42,1.36,2.7,0.04,3.08,1.12
Draymond Green,GSW,2065.0,6.88,7.82,7.44,8.46,0.11,7.97,1.08
Dwayne Bacon,CHA,759.0,1.09,2.3,1.17,2.47,0.05,4.06,1.07
Dwight Powell,DAL,1663.0,1.45,2.48,1.53,2.62,0.04,3.21,1.06
Dwyane Wade,MIA,1885.0,4.18,5.81,4.67,6.49,0.09,6.38,1.12
E'Twaun Moore,NOP,1463.0,1.92,2.47,2.09,2.68,0.06,4.15,1.08
Ed Davis,BKN,1446.0,0.75,1.55,0.77,1.59,0.02,1.8,1.03
Elfrid Payton,NOP,1250.0,7.62,8.9,8.44,9.85,0.12,8.83,1.11
Elie Okobo,PHX,958.0,2.4,4.85,2.56,5.18,0.06,4.34,1.07
Emmanuel Mudiay,NYK,1576.0,3.9,5.15,4.54,6.0,0.07,5.06,1.17
Enes Kanter,POR,1639.0,1.73,2.59,1.8,2.69,0.04,2.95,1.04
Eric Bledsoe,MIL,2272.0,5.51,6.64,6.33,7.63,0.11,8.45,1.15
Eric Gordon,HOU,2158.0,1.9,2.2,2.07,2.4,0.05,4.0,1.09
Ersan Ilyasova,MIL,1231.0,0.78,1.5,0.87,1.68,0.03,2.33,1.13
Evan Fournier,ORL,2490.0,3.68,4.28,3.93,4.57,0.09,6.8,1.07
Evan Turner,POR,1606.0,3.88,6.47,4.22,7.03,0.09,6.51,1.09
Frank Jackson,NOP,1169.0,1.13,2.03,1.19,2.14,0.04,3.23,1.05
Frank Kaminsky,CHA,755.0,1.34,3.04,1.46,3.31,0.04,3.26,1.09
Frank Ntilikina,NYK,887.0,2.83,4.88,3.13,5.4,0.08,5.83,1.11
Fred VanVleet,TOR,1760.0,4.8,6.41,5.07,6.77,0.09,6.77,1.06
Furkan Korkmaz,PHI,679.0,1.08,2.71,1.2,3.01,0.06,4.78,1.11
Garrett Temple,LAC,2041.0,1.41,1.93,1.56,2.13,0.04,3.24,1.1
Gary Clark,HOU,641.0,0.35,1.03,0.44,1.29,0.03,2.46,1.25
Gary Harris,DEN,1639.0,2.23,2.85,2.52,3.23,0.07,5.27,1.13
George Hill,MIL,1302.0,2.25,3.78,2.52,4.23,0.07,5.07,1.12
Gerald Green,HOU,1473.0,0.55,1.0,0.62,1.14,0.03,1.92,1.14
Giannis Antetokounmpo,MIL,2358.0,5.89,6.29,6.35,6.78,0.08,5.77,1.08
Glenn Robinson III,DET,610.0,0.45,1.28,0.52,1.5,0.03,2.12,1.17
Goran Dragic,MIA,991.0,4.83,6.29,5.62,7.32,0.1,7.16,1.16
Gordon Hayward,BOS,1863.0,3.39,4.71,3.79,5.27,0.08,6.26,1.12
Gorgui Dieng,MIN,1031.0,0.95,2.54,1.03,2.77,0.04,3.03,1.09
Harrison Barnes,SAC,2533.0,1.49,1.62,1.68,1.83,0.03,2.48,1.12
Harry Giles III,SAC,820.0,1.47,3.63,1.72,4.25,0.07,5.49,1.17
Hassan Whiteside,MIA,1674.0,0.78,1.24,0.75,1.21,0.02,1.82,0.97
Ian Clark,NOP,973.0,1.57,3.37,1.76,3.79,0.06,4.84,1.12
Iman Shumpert,HOU,1481.0,1.81,2.67,2.01,2.97,0.07,5.05,1.11
Isaiah Canaan,MIL,628.0,2.8,4.95,2.83,5.01,0.06,4.67,1.01
Ish Smith,DET,1251.0,3.62,6.06,4.07,6.79,0.08,5.67,1.12
Ivan Rabb,MEM,721.0,1.1,2.82,1.31,3.36,0.05,3.77,1.19
Ivica Zubac,LAC,1039.0,1.07,2.14,1.05,2.1,0.03,2.27,0.98
J.J. Barea,DAL,752.0,5.55,10.11,6.67,12.14,0.11,8.37,1.2
JJ Redick,PHI,2346.0,2.73,3.04,3.01,3.35,0.07,5.53,1.1
