PLAYER,TEAM,MIN,AST per game,AST per 75 poss,Wght AST per game,Wght AST per 75 poss,Wght AST per touch,Wght AST per 75 touches,AST Value
Taurean Prince,ATL,1552.0,2.15,2.63,2.44,2.99,0.07,5.42,1.14
Terrance Ferguson,OKC,1902.0,0.96,1.32,1.13,1.55,0.07,5.09,1.18
Terrence Ross,ORL,2098.0,1.71,2.31,1.99,2.68,0.06,4.48,1.16
Terry Rozier,BOS,1791.0,2.92,4.73,3.14,5.08,0.06,4.54,1.07
Thaddeus Young,IND,2489.0,2.52,3.08,2.86,3.5,0.06,4.26,1.14
Thomas Bryant,WAS,1481.0,1.3,2.2,1.5,2.54,0.04,3.18,1.16
Thon Maker,DET,972.0,0.7,1.71,0.73,1.77,0.03,2.3,1.04
Tim Frazier,MIL,1120.0,4.2,7.82,4.62,8.6,0.1,7.74,1.1
Tim Hardaway Jr.,DAL,2032.0,2.47,2.81,2.76,3.14,0.05,4.0,1.12
Timothe Luwawu-Cabarrot,CHI,669.0,0.52,1.39,0.6,1.61,0.04,2.96,1.16
Tobias Harris,PHI,2848.0,2.79,2.89,3.12,3.22,0.05,3.82,1.12
Tomas Satoransky,WAS,2133.0,4.99,6.63,5.73,7.62,0.1,7.52,1.15
Tony Parker,CHA,1003.0,3.7,7.5,4.15,8.42,0.1,7.59,1.12
Tony Snell,MIL,1304.0,0.92,1.85,1.04,2.1,0.05,3.86,1.14
Torrey Craig,DEN,1503.0,0.96,1.79,1.01,1.89,0.05,3.78,1.06
Trae Young,ATL,2503.0,8.06,9.07,9.46,10.65,0.12,8.73,1.17
Treveon Graham,BKN,715.0,0.97,1.68,1.1,1.91,0.04,2.91,1.14
Trevor Ariza,WAS,2310.0,3.6,3.86,4.12,4.41,0.08,5.83,1.14
Trey Burke,DAL,1125.0,2.74,5.18,2.96,5.59,0.07,5.07,1.08
Trey Lyles,DEN,1120.0,1.36,2.86,1.47,3.09,0.04,3.37,1.08
Tristan Thompson,CLE,1198.0,2.0,2.73,2.05,2.79,0.04,3.25,1.02
Troy Brown Jr.,WAS,720.0,1.55,3.91,1.77,4.47,0.09,6.72,1.14
Troy Daniels,PHX,760.0,0.51,1.24,0.61,1.47,0.03,2.36,1.19
Tyler Dorsey,MEM,698.0,1.17,2.86,1.45,3.56,0.07,5.52,1.24
Tyler Johnson,PHX,1529.0,2.91,3.96,3.26,4.44,0.07,5.04,1.12
Tyreke Evans,IND,1402.0,2.41,4.39,2.69,4.9,0.08,5.87,1.12
Tyrone Wallace,LAC,628.0,0.68,2.3,0.82,2.79,0.05,3.39,1.22
Tyson Chandler,LAL,875.0,0.67,1.49,0.64,1.43,0.03,2.55,0.95
Tyus Jones,MIN,1560.0,4.81,7.56,5.24,8.24,0.1,7.23,1.09
Victor Oladipo,IND,1147.0,5.17,6.04,5.53,6.46,0.09,6.76,1.07
Vince Carter,ATL,1330.0,1.14,2.27,1.34,2.65,0.04,3.17,1.17
Wayne Ellington,DET,1297.0,1.36,2.07,1.65,2.51,0.06,4.47,1.21
Wayne Selden,CHI,1439.0,1.45,2.79,1.56,3.0,0.07,4.98,1.07
Wendell Carter Jr.,CHI,1092.0,1.79,2.6,1.91,2.77,0.05,3.59,1.06
Wes Iwundu,ORL,1233.0,1.07,2.16,1.1,2.22,0.06,4.51,1.03
Wesley Matthews,IND,2091.0,2.32,2.8,2.53,3.05,0.07,5.24,1.09
Will Barton,DEN,1189.0,2.88,3.84,3.11,4.14,0.07,4.94,1.08
Willie Cauley-Stein,SAC,2213.0,2.4,3.06,2.56,3.27,0.06,4.33,1.07
Willy Hernangomez,CHA,812.0,1.03,2.65,1.25,3.21,0.04,2.93,1.21
Wilson Chandler,LAC,1142.0,1.64,2.49,1.88,2.86,0.06,4.71,1.15
Yogi Ferrell,SAC,1067.0,1.93,4.59,2.16,5.14,0.07,5.37,1.12
Zach Collins,POR,1356.0,0.92,1.94,1.03,2.16,0.04,2.72,1.12
Zach LaVine,CHI,2130.0,4.48,4.75,4.94,5.24,0.08,5.89,1.1
Zaza Pachulia,DET,878.0,1.34,3.9,1.32,3.86,0.06,4.77,0.99
