PLAYER,TEAM,MIN,AST per game,Opt. AST per game,AST per 75 poss,Opt. AST per 75 poss,Passing Production Rating Percentile
Ian Mahinmi,WAS,808,1.29,1.59,2.18,2.68,0.266
Glenn Robinson III,PHI,1786,1.55,2.11,1.95,2.66,0.262
Cam Reddish,ATL,1551,1.5,2.05,1.96,2.68,0.259
Deandre Ayton,PHX,1236,1.89,2.42,2.09,2.67,0.256
Kristaps Porzingis,DAL,1739,1.78,2.34,2.03,2.65,0.253
OG Anunoby,TOR,2027,1.59,2.17,1.88,2.61,0.25
Jaxson Hayes,NOP,1076,0.89,1.27,1.78,2.59,0.247
Jeff Green,HOU,960,1.04,1.47,1.85,2.61,0.244
Mario Hezonja,POR,866,0.94,1.26,2.04,2.72,0.241
Serge Ibaka,TOR,1449,1.33,1.94,1.87,2.59,0.238
Taj Gibson,NYK,1025,0.84,1.14,1.89,2.58,0.234
Allen Crabbe,MIN,653,0.89,1.28,1.76,2.51,0.231
Marvin Williams,MIL,1100,1.04,1.32,1.94,2.48,0.228
Furkan Korkmaz,PHI,1559,1.1,1.51,1.83,2.52,0.225
Kyle Kuzma,LAL,1526,1.31,1.79,1.87,2.55,0.222
Justin Jackson,DAL,1024,0.8,1.1,1.82,2.49,0.219
Bismack Biyombo,CHA,1021,0.96,1.25,1.87,2.48,0.216
Lauri Markkanen,CHI,1492,1.48,2.05,1.79,2.48,0.212
Wesley Matthews,MIL,1617,1.38,1.73,1.93,2.43,0.209
Vince Carter,ATL,876,0.8,1.03,1.92,2.47,0.206
James Ennis III,ORL,1266,0.91,1.23,1.81,2.43,0.203
Kevin Knox II,NYK,1166,0.94,1.22,1.89,2.45,0.2
Danny Green,LAL,1687,1.34,1.7,1.92,2.44,0.197
Maurice Harkless,NYK,1427,1.1,1.55,1.7,2.41,0.194
Anthony Tolliver,MEM,872,0.76,1.07,1.71,2.39,0.191
Mo Bamba,ORL,878,0.68,0.91,1.79,2.41,0.188
Trey Lyles,SAS,1254,1.08,1.35,1.98,2.44,0.184
Justin Holiday,IND,1826,1.27,1.65,1.84,2.39,0.181
Kent Bazemore,SAC,1661,1.37,1.7,1.98,2.45,0.178
Ersan Ilyasova,MIL,971,0.79,1.09,1.71,2.39,0.175
Brook Lopez,MIL,1792,1.46,1.85,1.87,2.37,0.172
Jonathan Isaac,ORL,980,1.41,1.9,1.79,2.41,0.169
Alex Len,SAC,956,0.91,1.19,1.82,2.39,0.166
Nerlens Noel,OKC,1127,0.93,1.19,1.87,2.39,0.162
Patrick Patterson,LAC,776,0.69,0.86,1.87,2.32,0.159
