PLAYER,TEAM,MIN,Cut Scoring Percentile,Off Screen Scoring Percentile
Doug McDermott,IND,1372.0,0.868,0.995
Matt Thomas,TOR,436.0,0.187,1.0
Joe Harris,BKN,2123.0,0.607,0.982
Landry Shamet,LAC,1452.0,0.174,0.977
JJ Redick,NOP,1581.0,0.26,0.991
Damion Lee,GSW,1423.0,0.594,0.968
Terrence Ross,ORL,1889.0,0.237,0.986
Davis Bertans,WAS,1583.0,0.557,0.954
Duncan Robinson,MIA,2128.0,0.534,0.959
Mikal Bridges,PHX,2010.0,0.995,0.324
Buddy Hield,SAC,2192.0,0.402,0.963
Glenn Robinson III,PHI,1786.0,0.918,0.909
Justin Holiday,IND,1826.0,0.566,0.936
Rondae Hollis-Jefferson,TOR,1116.0,1.0,0.027
Devin Booker,PHX,2512.0,0.909,0.895
Pat Connaughton,MIL,1234.0,0.973,0.493
Jamal Murray,DEN,1903.0,0.941,0.79
D'Angelo Russell,MIN,1452.0,0.53,0.941
Bradley Beal,WAS,2053.0,0.795,0.913
Gordon Hayward,BOS,1740.0,0.854,0.822
Kyle Korver,MIL,942.0,0.037,0.973
Michael Porter Jr.,DEN,903.0,0.982,0.548
Ben Simmons,PHI,2017.0,0.986,0.21
Evan Fournier,ORL,2076.0,0.516,0.927
Derrick Jones Jr.,MIA,1350.0,0.991,0.247
CJ McCollum,POR,2518.0,0.507,0.868
Bogdan Bogdanovic,SAC,1736.0,0.548,0.881
Brandon Ingram,NOP,2062.0,0.721,0.744
Andrew Wiggins,GSW,1859.0,0.922,0.703
E'Twaun Moore,NOP,1004.0,0.009,0.918
Paul George,LAC,1419.0,0.196,0.95
T.J. Warren,IND,2202.0,0.913,0.795
Jimmy Butler,MIA,1959.0,0.963,0.466
Tyler Herro,MIA,1508.0,0.37,0.89
Svi Mykhailiuk,DET,1253.0,0.233,0.904
Bojan Bogdanovic,UTA,2083.0,0.256,0.932
Fred VanVleet,TOR,1928.0,0.502,0.849
Khris Middleton,MIL,1818.0,0.685,0.785
Cameron Johnson,PHX,1223.0,0.58,0.708
Jordan Poole,GSW,1274.0,0.269,0.945
Zach LaVine,CHI,2085.0,0.817,0.763
Justin Jackson,DAL,1024.0,0.753,0.831
Maurice Harkless,NYK,1427.0,0.977,0.228
Danny Green,LAL,1687.0,0.589,0.717
Kemba Walker,BOS,1742.0,0.397,0.9
Malik Monk,CHA,1136.0,0.562,0.836
Terry Rozier,CHA,2127.0,0.361,0.872
Rodions Kurucs,BKN,684.0,0.959,0.105
Kawhi Leonard,LAC,1848.0,0.47,0.858
Lonzo Ball,NOP,1985.0,0.539,0.53
Marco Belinelli,SAS,875.0,0.635,0.804
Norman Powell,TOR,1436.0,0.626,0.84
Torrey Craig,DEN,1072.0,0.968,0.256
George Hill,MIL,1247.0,0.932,0.347
Tyler Johnson,BKN,694.0,0.831,0.516
Luke Kennard,DET,888.0,0.676,0.667
Bryn Forbes,SAS,1563.0,0.055,0.845
Terence Davis,TOR,1203.0,0.731,0.607
DeMar DeRozan,SAS,2282.0,0.694,0.781
Langston Galloway,DET,1682.0,0.005,0.922
Bruce Brown,DET,1612.0,0.936,0.059
Jerami Grant,DEN,1892.0,0.954,0.292
Devonte' Graham,CHA,2179.0,0.347,0.749
Monte Morris,DEN,1637.0,0.886,0.397
Timothe Luwawu-Cabarrot,BKN,853.0,0.621,0.553
Tobias Harris,PHI,2469.0,0.785,0.699
Spencer Dinwiddie,BKN,1994.0,0.543,0.753
Rodney McGruder,LAC,871.0,0.927,0.05
Kenrich Williams,NOP,832.0,0.877,0.169
Malik Beasley,MIN,1209.0,0.584,0.735
Markelle Fultz,ORL,1996.0,0.89,0.416
Patty Mills,SAS,1453.0,0.059,0.886
Wesley Matthews,MIL,1617.0,0.525,0.813
Derrick White,SAS,1655.0,0.511,0.475
Furkan Korkmaz,PHI,1559.0,0.311,0.776
