PLAYER,TEAM,MIN,Cut Scoring Percentile,Off Screen Scoring Percentile
Tomas Satoransky,CHI,1878.0,0.74,0.379
Troy Brown Jr.,WAS,1782.0,0.895,0.311
Keita Bates-Diop,DEN,744.0,0.95,0.068
Kendrick Nunn,MIA,1935.0,0.662,0.772
Ja Morant,MEM,2074.0,0.708,0.557
Kyrie Irving,BKN,658.0,0.767,0.507
Reggie Bullock,NYK,684.0,0.712,0.817
Jrue Holiday,NOP,2080.0,0.703,0.438
Jerome Robinson,WAS,979.0,0.1,0.877
Shake Milton,PHI,805.0,0.671,0.511
Goran Dragic,MIA,1632.0,0.717,0.461
James Ennis III,ORL,1266.0,0.945,0.064
Collin Sexton,CLE,2143.0,0.758,0.58
Patrick Beverley,LAC,1342.0,0.183,0.178
Tony Snell,DET,1613.0,0.247,0.854
Ky Bowman,GSW,1015.0,0.616,0.644
Josh Richardson,PHI,1693.0,0.438,0.767
Grayson Allen,MEM,718.0,0.027,0.731
Robert Covington,HOU,2137.0,0.603,0.562
Jordan Clarkson,UTA,1705.0,0.406,0.648
Jayson Tatum,BOS,2265.0,0.575,0.758
Harrison Barnes,SAC,2448.0,0.735,0.384
Donte DiVincenzo,MIL,1495.0,0.849,0.333
Eric Bledsoe,MIL,1615.0,0.68,0.502
Luka Doncic,DAL,1973.0,0.475,0.653
Mike Conley,UTA,1363.0,0.119,0.689
D.J. Augustin,ORL,1420.0,0.466,0.589
Kyle Kuzma,LAL,1526.0,0.648,0.479
Kyle Lowry,TOR,2063.0,0.356,0.826
Kelly Oubre Jr.,PHX,1893.0,0.84,0.425
Malcolm Brogdon,IND,1666.0,0.653,0.498
DeAndre' Bembry,ATL,915.0,0.904,0.046
Tim Hardaway Jr.,DAL,2027.0,0.224,0.799
Dennis Schroder,OKC,1999.0,0.612,0.566
Garrett Temple,BKN,1730.0,0.274,0.694
Ben McLemore,HOU,1619.0,0.283,0.671
Alec Burks,PHI,1754.0,0.63,0.68
Jarrett Culver,MIN,1506.0,0.813,0.37
Ricky Rubio,PHX,1979.0,0.42,0.041
Josh Hart,NOP,1742.0,0.014,0.543
Semi Ojeleye,BOS,1011.0,0.447,0.032
Derrick Rose,DET,1272.0,0.393,0.626
Trae Young,ATL,2120.0,0.023,0.489
OG Anunoby,TOR,2027.0,0.881,0.269
LeBron James,LAL,2316.0,0.667,0.63
Cory Joseph,SAC,1742.0,0.644,0.151
Elfrid Payton,NYK,1246.0,0.863,0.16
Dorian Finney-Smith,DAL,2079.0,0.808,0.265
Donovan Mitchell,UTA,2364.0,0.452,0.662
Russell Westbrook,HOU,2049.0,0.553,0.434
Abdel Nader,OKC,867.0,0.265,0.74
Michael Carter-Williams,ORL,833.0,0.772,0.128
Jonathan Isaac,ORL,980.0,0.763,0.132
Will Barton,DEN,1916.0,0.836,0.274
Joe Ingles,UTA,2137.0,0.123,0.808
Damian Lillard,POR,2436.0,0.297,0.598
Damyean Dotson,NYK,836.0,0.137,0.863
Patrick McCaw,TOR,891.0,0.858,0.155
Danilo Gallinari,OKC,1834.0,0.384,0.575
Dejounte Murray,SAS,1656.0,0.457,0.091
Darius Garland,CLE,1824.0,0.306,0.639
Cody Martin,CHA,903.0,0.79,0.393
Caris LeVert,BKN,1330.0,0.749,0.306
Kevin Huerter,ATL,1760.0,0.329,0.612
Delon Wright,DAL,1545.0,0.699,0.174
Hamidou Diallo,OKC,896.0,0.872,0.164
Jaylen Brown,BOS,1934.0,0.352,0.621
Seth Curry,DAL,1505.0,0.164,0.676
Alex Caruso,LAL,1175.0,0.799,0.119
Treveon Graham,ATL,929.0,0.744,0.142
Luguentz Dort,OKC,820.0,0.9,0.137
Jae Crowder,MIA,1840.0,0.32,0.685
Isaac Bonga,WAS,1250.0,0.845,0.183
Ryan Arcidiacono,CHI,930.0,0.461,0.096
Lou Williams,LAC,1864.0,0.388,0.616
T.J. McConnell,IND,1326.0,0.781,0.123
Avery Bradley,LAL,1186.0,0.658,0.521
Taurean Prince,BKN,1857.0,0.219,0.721
De'Anthony Melton,MEM,1167.0,0.726,0.356
Royce O'Neale,UTA,2049.0,0.342,0.055
Kyle Anderson,MEM,1330.0,0.822,0.114
De'Aaron Fox,SAC,1604.0,0.365,0.342
Marcus Smart,BOS,1919.0,0.484,0.484
Anfernee Simons,POR,1449.0,0.416,0.452
Sterling Brown,MIL,767.0,0.425,0.429
Kentavious Caldwell-Pope,LAL,1762.0,0.443,0.584
Marcus Morris Sr.,LAC,1936.0,0.228,0.726
Isaiah Thomas,WAS,925.0,0.11,0.539
Jeff Green,HOU,960.0,0.826,0.11
Josh Okogie,MIN,1547.0,0.804,0.009
Jeremy Lamb,IND,1291.0,0.374,0.571
Frank Jackson,NOP,776.0,0.242,0.534
De'Andre Hunter,ATL,2018.0,0.288,0.352
Kevin Knox II,NYK,1166.0,0.315,0.635
Georges Niang,UTA,923.0,0.128,0.301
RJ Barrett,NYK,1704.0,0.521,0.411
Kent Bazemore,SAC,1661.0,0.489,0.288
Dillon Brooks,MEM,2112.0,0.251,0.712
Kevin Porter Jr.,CLE,1162.0,0.776,0.023
Elie Okobo,PHX,703.0,0.142,0.201
Wes Iwundu,ORL,953.0,0.689,0.146
Brad Wanamaker,BOS,1369.0,0.493,0.32
Ish Smith,WAS,1787.0,0.105,0.196
Jalen Brunson,DAL,1007.0,0.16,0.594
Coby White,CHI,1674.0,0.192,0.47
Miles Bridges,CHA,1976.0,0.498,0.279
Wilson Chandler,BKN,734.0,0.146,0.406
Allen Crabbe,MIN,653.0,0.087,0.603
Solomon Hill,MIA,1088.0,0.379,0.365
James Harden,HOU,2483.0,0.338,0.361
Eric Gordon,HOU,1016.0,0.279,0.658
Trevor Ariza,POR,1453.0,0.333,0.525
Gary Harris,DEN,1780.0,0.639,0.338
Danuel House Jr.,HOU,1913.0,0.571,0.005
Shai Gilgeous-Alexander,OKC,2428.0,0.411,0.283
Tyus Jones,MEM,1232.0,0.078,0.457
Matisse Thybulle,PHI,1287.0,0.324,0.402
Lonnie Walker IV,SAS,967.0,0.434,0.037
Frank Ntilikina,NYK,1187.0,0.151,0.224
Rudy Gay,SAS,1429.0,0.292,0.315
Cam Reddish,ATL,1551.0,0.429,0.014
Kris Dunn,CHI,1269.0,0.178,0.187
Rodney Hood,POR,619.0,0.041,0.205
Aaron Holiday,IND,1617.0,0.155,0.329
Markieff Morris,LAL,1171.0,0.598,0.018
Terrance Ferguson,OKC,1257.0,0.301,0.42
Jevon Carter,PHX,945.0,0.082,0.242
Emmanuel Mudiay,UTA,850.0,0.132,0.192
Mario Hezonja,POR,866.0,0.479,0.1
Raul Neto,PHI,668.0,0.169,0.251
Shabazz Napier,WAS,1344.0,0.096,0.297
Reggie Jackson,LAC,743.0,0.201,0.087
Gary Trent Jr.,POR,1299.0,0.046,0.374
Jordan McRae,DET,785.0,0.032,0.443
Matthew Dellavedova,CLE,821.0,0.064,0.215
Darius Bazley,OKC,1129.0,0.018,0.237
Dwayne Bacon,CHA,687.0,0.114,0.447
Vince Carter,ATL,876.0,0.05,0.388
Rajon Rondo,LAL,984.0,0.205,0.082
Austin Rivers,HOU,1594.0,0.091,0.219
Chris Paul,OKC,2208.0,0.21,0.078
Jeff Teague,ATL,1464.0,0.073,0.26
Carmelo Anthony,POR,1869.0,0.215,0.073
Cedi Osman,CLE,1910.0,0.068,0.233
